Timestep,Field_0,Field_1,Field_2,Field_3
0,0.9990428686141968,0.9970560073852539,0.9990024566650391,0.9932531118392944
1,0.9988221526145935,0.9954909086227417,0.9989467859268188,0.9905635714530945
2,0.9984487295150757,0.9922714233398438,0.9988335371017456,0.9846601486206055
3,0.9978539347648621,0.9864284992218018,0.9986368417739868,0.9718679189682007
4,0.9969532489776611,0.9767639636993408,0.998371422290802,0.9468514919281006
5,0.9955939054489136,0.9620926380157471,0.9981159567832947,0.9042112231254578
6,0.9935538172721863,0.9419564604759216,0.9979154467582703,0.8490892648696899
7,0.9906696081161499,0.9176411628723145,0.9976370930671692,0.7647728323936462
8,0.987004816532135,0.8927507400512695,0.9971726536750793,0.6699811220169067
9,0.9827700853347778,0.8691692352294922,0.9964817762374878,0.6086477041244507
10,0.9780385494232178,0.8447895050048828,0.995500922203064,0.563900351524353
11,0.9724761247634888,0.8174233436584473,0.9941580295562744,0.5217925310134888
12,0.9652514457702637,0.7893604040145874,0.9924638271331787,0.48421990871429443
13,0.9550662040710449,0.7613086104393005,0.990410327911377,0.4550861716270447
14,0.9410381317138672,0.7363936901092529,0.9879888296127319,0.43672242760658264
15,0.9204123616218567,0.7135568857192993,0.9849113821983337,0.4288761615753174
16,0.8909586668014526,0.6940163373947144,0.9810817241668701,0.4265442490577698
17,0.8497409820556641,0.6764540672302246,0.9763095378875732,0.42895209789276123
18,0.7927037477493286,0.6579738259315491,0.9704726338386536,0.4333215653896332
19,0.7184086441993713,0.6385613679885864,0.9636435508728027,0.4372747838497162
20,0.6216726303100586,0.6181471347808838,0.9554847478866577,0.4402787983417511
21,0.5057909488677979,0.5980414152145386,0.9464090466499329,0.44237762689590454
22,0.37274497747421265,0.5789847373962402,0.9362659454345703,0.44339799880981445
23,0.22962042689323425,0.5617806911468506,0.9252157211303711,0.44289296865463257
24,0.08168181031942368,0.5464717149734497,0.9125840663909912,0.4404805600643158
25,-0.059814199805259705,0.5323007702827454,0.8991780877113342,0.43742793798446655
26,-0.18836812674999237,0.5187169909477234,0.8844162225723267,0.4332312345504761
27,-0.2973858118057251,0.5055673122406006,0.8686100840568542,0.42811888456344604
28,-0.3865191340446472,0.49122291803359985,0.8513408303260803,0.421974241733551
29,-0.4556056559085846,0.4751688838005066,0.8321760892868042,0.4147304892539978
30,-0.5077638030052185,0.45749300718307495,0.8112372159957886,0.40546414256095886
31,-0.5461992025375366,0.4374017119407654,0.7877463102340698,0.39389559626579285
32,-0.5744483470916748,0.4146456718444824,0.7623077630996704,0.3808629512786865
33,-0.5953746438026428,0.3891468048095703,0.7347452640533447,0.3668389320373535
34,-0.6109721660614014,0.36186814308166504,0.7037898302078247,0.35176151990890503
35,-0.6232468485832214,0.3343084454536438,0.6705918312072754,0.3367766737937927
36,-0.6332564353942871,0.3073151707649231,0.6342462301254272,0.3226378858089447
37,-0.6415324211120605,0.28174450993537903,0.5955219268798828,0.3094600439071655
38,-0.648764967918396,0.25754037499427795,0.5536538362503052,0.29786422848701477
39,-0.6548024415969849,0.23406517505645752,0.5106961727142334,0.28740495443344116
40,-0.6598955392837524,0.2094271183013916,0.46520471572875977,0.2782619297504425
41,-0.6639862656593323,0.18342134356498718,0.4172288477420807,0.27080467343330383
42,-0.6668229103088379,0.15641382336616516,0.37010303139686584,0.2644634246826172
43,-0.6688413619995117,0.1286291629076004,0.32127314805984497,0.2591201961040497
44,-0.6699326038360596,0.10295188426971436,0.27479249238967896,0.25484830141067505
45,-0.6703243255615234,0.07966867089271545,0.22817358374595642,0.25150835514068604
